,FTE,Facility_or_Department,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Position_Extra,Program_Description,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total
348,0.614762931,nan,'CARL PERKINS',nan,'ITEMGB Misc/TA ','OPPORTUNITY SCHOOL','SALARIES OF PART TIME EMPLOYEE','OFFICE/ADMINISTRATIVE SUPPORT','ITEMGB - TECHNOLOGY SERVICES','FEDERAL GDPG FUND - FY ',nan,'EDUCATION FOR ADULTS','ADULT VOC ED OPPORTUNITY','Alternative',nan,20948.53994
349,nan,nan,'Disadvantaged Youth *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'CERTIFICATED EMPLOYEES SALARIES AND WAGES',nan,nan,'Special Instruction','Certificated Employees Salaries And Wages','PUBLIC SALARY DIFFERENTIA',nan,nan,nan,76269.6
350,nan,nan,'EMPLOYEE RETIREMENT',nan,'Community School Child Care ','COMMUNITY EDUCATION','RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,89.96
351,0.044436657,nan,'SPECIAL ED - EARLY CHILDHOOD',nan,'Summer School Para ','SUMMER SCHOOL - ELEMENTARY SCH','SALARIES OF PART TIME EMPLOYEE','PARAPROFESSIONAL','SPECIAL EDUCATION','GENERAL FUND',nan,'SPECIAL EDUCATION','SPECIAL ED SYSTEMWIDE COSTS','n/a',nan,1266.467721
352,nan,nan,'Other Community Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Postage',nan,nan,'Community Services','Communications *',' TITLE I PARENT-PUBLI',nan,nan,nan,-269.12
353,0.011853448,nan,'SPECIAL ED. - SEVERE NEEDS',nan,"'Teacher,Retrd Shrt Term Sub '",nan,'SALARIES OF PART TIME EMPLOYEE','PROFESSIONAL-INSTRUCTIONAL','SPECIAL EDUCATION-HD ELEM','GENERAL FUND',nan,'SPECIAL EDUCATION','SEVERE DISABILITIES','Regular',nan,354.4512085
354,nan,nan,'NON-PROJECT',nan,'Sr. Financial Analyst ','BUDGETARY SERVICES','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-110.65
355,nan,nan,'EMPLOYEE RETIREMENT',nan,'Secretary - Hourly ','SCHOOL CHOICE','RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,272.85
356,0,nan,'BASIC (FEFP K-12)             ','GENERAL FUND                  ','SUB TEACHER ALL               ','School ','OTHER PERSONAL SERVICES       ',nan,nan,nan,nan,nan,nan,nan,nan,163.34
357,nan,nan,nan,nan,'GRADE LEVEL/DEPT CHA',nan,'Department Chair Supp',nan,nan,nan,nan,nan,nan,nan,nan,3477.64
358,nan,nan,'Office of the Principal Services*','General',nan,nan,'Office Supplies',nan,nan,'Support Services - Administration','General Supplies *','SCHOOL BASED MANAGEMENT',nan,nan,nan,2800.14
359,nan,nan,' INT OF SCL & MENTAL HLTH',nan,'Psychologist ','PSYCHOLOGICAL SERVICES','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','SUPPORT SERVICES-INSTRUCTIONAL','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF','PSYCHOLOGICAL SERVICES','n/a',nan,50.56
360,nan,nan,'SCHOOL NUTRITION','School Nutrition Service Fund',nan,nan,'SUPPLIES',nan,'Misc','SCHOOL NUTRITION SERVICE',nan,nan,nan,nan,nan,8877.74
361,1,nan,nan,'General Fund','Counselor - Secondary',nan,nan,'COUNSELOR ','HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12',nan,nan,nan,nan,nan,nan,64206.18
362,0.153545259,nan,'CAMPS',nan,'Community School Child Care ','COMMUNITY EDUCATION','SALARIES OF PART TIME EMPLOYEE','PARAPROFESSIONAL','COMMUNITY SERVICE','DISTRICT SPECIAL REVENUE FUNDS',nan,'COMMUNITY SERVICES OPERATION',nan,nan,nan,3102.87712
363,nan,nan,'BASIC (FEFP K-12)             ','FEDERAL DIRECT                ',"'TEACHER, SCIENCE-HIGH         '",'School ','EXTRA DUTY PAY-INSTRUCTIONAL  ',nan,nan,nan,nan,'SMALLER LEARN COMM',nan,nan,nan,405.51
364,nan,nan,'NON-PROJECT',nan,'Data Processor II ','WAREHOUSE OPERATIONS','SALARIES OF REGULAR EMPLOYEES',"'CRAFTS, TRADES, AND SERVICES'",'WAREHOUSE & DISTRIBUTION','LEVY OVERRIDE',nan,'BUSINESS','WAREHOUSE','n/a',nan,906.59496
365,nan,nan,'NON-PROJECT',nan,'(blank)',nan,'TRAVEL AND REGISTRATION','UNDESIGNATED','INSTRUCTIONAL STAFF TRAINING','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,2886.81
366,nan,nan,'GENERAL ADMINISTRATION','Title I',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES',nan,'TITLE IA BASIC PROGRAM-ADMINISTRATION','TITLE I-A GENERAL ADMINISTRATION',nan,nan,nan,nan,nan,25
367,nan,nan,'EMPLOYEE RETIREMENT',nan,'Custodian Asst I ',nan,'RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,240.39
368,nan,nan,'SPECIAL EDUCATION - ITINERANT',nan,'Occupational Therapist ','SPECIAL EDUCATION','SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','SPECIAL EDUCATION-OT','GENERAL FUND',nan,'SPECIAL EDUCATION','SPEECH & LANGUAGE','n/a',nan,2626.99176
369,nan,nan,'Elementary','General',nan,nan,'EQUIPMENT *',nan,nan,'Regular Instruction','Equipment *','SCHOOL BASED MANAGEMENT',nan,nan,nan,0.55
370,nan,nan,'INST STAFF TRAINING SVCS      ','FED THRU STATE-CASH ADVANCE   ','ESE SCHOOL SPECIALIST         ','ESE                           ','WORKSHOP PARTICIPANT          ',nan,nan,nan,nan,'IDEA  PART B                  ',nan,nan,nan,302.76
371,nan,nan,'BASIC (FEFP K-12)             ','GENERAL FUND                  ',"'TEACHER, ASD                  '",'School ','ALL OTHER SUPPLEMENTS         ',nan,nan,nan,nan,nan,nan,nan,nan,745.4
372,1,nan,'BASIC (FEFP K-12)             ','GENERAL FUND                  ',"'TEACHER, MATH-HIGH            '",'School ','CLASSROOM TEACHER             ',nan,nan,nan,nan,nan,nan,nan,nan,30429.27109
373,nan,nan,'School Leadership','General Operating Fund',nan,'School ','General Supplies',nan,'PRE-K',nan,'General Supplies',nan,nan,nan,nan,5303.09
374,nan,'Instruction And Curriculum','Instructional Leadership','Idea Part B Formula',nan,'School ','General Supplies',nan,'Services To Students With Disabilities (Special Education)',nan,'General Supplies',nan,'SUPPLIES & MATERIALS',nan,'Supp and Materials that do not require specific approval',78.61
375,nan,nan,'NON-PROJECT',nan,'Library Tech I ',nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-262.19
376,0.125,nan,'Direction of Support Services - Pupils *','Title  School Improvement Stimulus G','BARRIER BREAKER','CHIEF ACADEMIC OFFICER','Regular *',nan,nan,'Support Services--Pupils',nan,"'SCHOOL IMPROVEMENT,G'",'ADM/PROF',nan,nan,9531.101098
377,0,nan,'EXCEPTIONAL                   ','GENERAL FUND                  ','CLERICAL/TCHR ASST SUB        ','School ','OTHER PERSONAL SERVICES       ',nan,nan,nan,nan,nan,nan,nan,nan,339.53
378,nan,nan,'TITLE VI-IDEA B-MAIN',nan,'Secondary Spec Ed Para ',nan,'EMPLOYEE BENEFITS','PARAPROFESSIONAL','SPECIAL EDUCATION','FEDERAL GDPG FUND - FY ',nan,'SPECIAL EDUCATION',nan,'Regular',nan,864.35
379,nan,'Instruction And Curriculum','Social Work Services','Title Iv Part B  Century Community Learning Ce',"'CLASSROOM AIDE, SPECIAL ED.'",'School ','Extra Duty Pay/Overtime For Support Personnel','AB AIDE','Undistributed','Case Partnership Project','Extra Duty Pay/Overtime For Support Personnel','MISCELLANEOUS ',nan,nan,'Extra Duty',5183.19
380,nan,nan,'NON-PROJECT',nan,'(blank)','BUDGETARY SERVICES','TELEPHONE/FACSIMILE SERVICES','UNDESIGNATED','BUDGETING SERVICES','GENERAL FUND',nan,'BUSINESS','BUDGET OFFICE','n/a',nan,758.38
381,nan,nan,'NON-PROJECT',nan,'Social Worker ','SOCIAL WORK SERVICES','EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-INSTRUCTIONAL','SOCIAL WORK SERVICES','GENERAL FUND',nan,'STUDENTS',nan,'n/a',nan,17.78
382,nan,nan,'STATE - GIFTED AND TALENTED',nan,"'Dir, Gifted/Talented Ed '",'GIFTED AND TALENTED','EMPLOYEE BENEFITS','ADMINISTRATOR','SUPPORT SERVICES-INSTRUCTIONAL','STATE AND LOCAL GDPG FUND',nan,'INSTRUCTIONAL STAFF','GIFTED AND TALENTED','n/a',nan,1074.14
383,1,nan,nan,'General Purpose School',nan,nan,'Personal Services - Teachers','TEACHER','Instruction - Regular',nan,nan,nan,nan,nan,'Regular Instruction',8783.77
384,nan,nan,'UNALLOC BUDGETS/SCHOOLS',nan,"'Spec Ed Asst, Mild/Moderate '",'ES TEAM ','SALARIES OF PART TIME EMPLOYEE','PARAPROFESSIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION','INSTRUCTIONAL SUPPORT TEAMS','n/a',nan,615.50656
385,0,nan,nan,'General Purpose School',nan,nan,'Personal Services - Teachers','TIME CARD CERTIFIEDAddl','Instruction - Regular',nan,nan,nan,nan,nan,'Alternative Schools Instruction',204.18
386,nan,nan,'NON-PROJECT',nan,"'School Counselor, High Sch '",nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','GUIDANCE SERVICES','GENERAL FUND',nan,'STUDENTS',nan,'Turnaround',nan,-168.93792
387,nan,nan,'EMPLOYEE RETIREMENT',nan,'Speech Language Pathologst ','SPECIAL EDUCATION','RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,1317.08
388,nan,nan,'FACILITATOR',nan,"'Facilitator,Elem '",nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','LITERACY COACHES','LEVY OVERRIDE',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,263.09168
389,nan,nan,'SAFETY & SECURITY',nan,'Security Resource Spec ','SAFETY AND SECURITY','EMPLOYEE BENEFITS','PROFESSIONAL-OTHER','SECURITY SERVICES','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','SAFETY AND SECURITY','n/a',nan,797.69
390,nan,nan,'INSTRUCTION','Vocational Education-Federal Funded',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES',nan,'Vocational  Grant-Program Improvement.','PROGRAM IMPROVEMENT INSTR',nan,nan,nan,nan,nan,256.62
391,nan,'Finance Department','General Administration','General Operating Fund',nan,'Administration - No Description Provided','Travel And Subsistence - Employee Only',nan,'Undistributed',nan,'Travel And Subsistence - Employee Only',nan,nan,nan,nan,23689.93
392,nan,nan,'SPECIAL EDUCATION - ITINERANT',nan,'Speech Lang Pathology Asst ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','PROFESSIONAL-OTHER','SPECIAL EDUCATION-S/L','GENERAL FUND',nan,'SPECIAL EDUCATION','SPEECH & LANGUAGE','n/a',nan,3037.46
393,0.15,nan,'GUIDANCE SERVICES             ','GENERAL FUND                  ','COUNSELOR-HIGH                ','School ','OTHER CERTIFIED               ',nan,nan,nan,nan,nan,nan,nan,nan,7898.522663
394,nan,nan,'NON-PROJECT',nan,'Psychologist ',nan,'ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','GENERAL HIGH SCHOOL EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,219.05
395,1,nan,nan,'General Purpose School','BOARD MEMBER DISTRICT ',nan,'Personal Services - Other Personnel','BOARD MEMBER','District Administration',nan,nan,nan,nan,nan,'Board of Education',23347.29399
396,nan,nan,'Other Community Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Contracted Food Services',nan,nan,'Community Services','Contracted Craft Or Trade Services *',' TITLE I PI+HOMELESS',nan,nan,nan,-2295.87
397,nan,nan,'STATE - GIFTED AND TALENTED',nan,"'Teacher, Librarian H S '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GIFTED AND TALENTED','STATE AND LOCAL GDPG FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,2.25
398,nan,'Instruction And Curriculum','Instruction',"'""Title  Part A Improving Basic Programs""'",nan,'School ','Teacher Retirement',nan,'Accelerated Education',nan,'Teacher Retirement',nan,'Payroll',nan,'Reading',20.75
399,nan,nan,'SUPPORT SERVICES - BUSINE','General Fund',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,405.31
400,0.025,nan,nan,nan,'Aide (Afterschool)','OFC COM & ED PROG-AFTER SCHOOL AIDES',nan,nan,nan,"'SUMMER ED, ARTS & SPORTS - SEAS'",nan,nan,'AFTERSCHOOL PROGRAMS',nan,nan,1076.061912
401,nan,nan,'NON-PROJECT',nan,'Custodial Helper - Day ','ALL SCHOOLS-UNDISTRIBUTED','SALARIES OF REGULAR EMPLOYEES',"'CRAFTS, TRADES, AND SERVICES'",'CARE & UPKEEP OF BLDG SERVICES','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','CUSTODIAL-SCHOOLS','n/a',nan,2203.99264
402,1,'HEALTH SERVICES',nan,'General Purpose School','THERAPIST PHYSICAL','District Wide Resources','Personal Services - Health Services','THERAPISTS',"""Principal's Office""",nan,nan,nan,nan,nan,'Special Education Support',81768.85471
403,0.181399511,nan,"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ','GRANTS SPECIALIST             ','GRANT SERVICES                ','OTHER SUPPORT PERSONNEL       ',nan,nan,nan,nan,nan,nan,nan,nan,16354.78261
404,1.00704146,nan,'SPECIAL ED. - MILD/MODERATE',nan,'Teacher',nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','SPECIAL EDUCATION-CONVERSION','GENERAL FUND',nan,'SPECIAL EDUCATION',nan,'Regular',nan,41107.60065
405,0.19,'All Campus Payroll','School Leadership','General Operating Fund',"'CLERICAL, SCHOOL ADMIN.'",'School ','Salaries Or Wages For Support Personnel','REGISTRAR','Undistributed','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,'Undistributed',3837.449343
406,nan,'Instruction And Curriculum','Instruction',"'""Title  Part A Improving Basic Programs""'",'SCHOOL PRINCIPAL','School ','Salaries And Wages For Teachers And Other Professi','ELEM/INTER ASST PRINCIPAL',"'""Title I, Part A Schoolwide Activities Related To State Comp'","'""Title  Part A Improving Basic Programs""'",'Extended Day','MISCELLANEOUS ',nan,nan,nan,77.66079602
407,nan,nan,'NON-PROJECT',nan,'(blank)',nan,'FOOD','UNDESIGNATED','FOOD PREPARATION/SERVING','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','Regular',nan,80020.85
408,nan,nan,'NEW TEACHER RECRUITMENT',nan,'(blank)','HUMAN RESOURCES','GENERAL SUPPLIES','UNDESIGNATED','SUPPORT SERVICES-INSTRUCTIONAL','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF','HUMAN RESOURCES RECRUITMENT','n/a',nan,117.01
409,nan,nan,'ADMIN TECHNOLOGY SVCS         ','GENERAL FUND                  ',nan,'SUPERINTENDENT                ','NON-CAPITALIZED COMPUTER HARDW',nan,nan,nan,nan,'COMPUTER REPAIR/REPL          ',nan,nan,nan,314.08
410,nan,nan,'Building Acquisitions And Construction Services *','Classroom Facilities',nan,nan,'Equipment and Furniture',nan,nan,'Building Acquisitions And Construction Services *',"'Supplies And Materials For Operation, Maintenance And Repair *'",' LOCAL SHARE',nan,nan,nan,1615.83
411,0,nan,nan,'School Federal Projects',nan,nan,'Personal Services - Substitute Teachers Non-Certified','SUBSTITUTE TEACHER','Instruction - SPED',nan,nan,'INDIVIDUALS WITH DISABILITIES ACT PART B',nan,nan,'IDEA Part B  ',168.76
412,nan,nan,'ELA S - TEACHING SPANISH ONLY',nan,"'Admin Intern, Elementary '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,3071.49
413,nan,nan,'NON-PROJECT',nan,'Office Support II ','PSYCHOLOGICAL SERVICES','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-899.4
414,nan,nan,'EMPLOYEE RETIREMENT',nan,"'Teacher,Spec Ed Center Prg '",nan,'RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,1025.14
415,nan,nan,'DELL COMPUTERS',nan,'(blank)',nan,'MILEAGE REIMBURSEMENT','UNDESIGNATED','OTHER GENERAL EDUCATION','DISTRICT SPECIAL REVENUE FUNDS',nan,'OTHER EDUCATION',nan,'n/a',nan,76.07
416,1,nan,nan,nan,'Teacher',nan,nan,nan,nan,'LOCAL',nan,nan,'GENERAL EDUCATION',nan,nan,91913.22251
417,nan,'Transportation Department','Transportation','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','BUS DRIVER','Undistributed','Operations','Extra Duty Pay/Overtime For Support Personnel','EXTRA RUN',nan,nan,'transportation - Second Runs',282.45
418,nan,nan,nan,'INTRADISTRICT FUNDS',nan,'OFFICE OF HUMAN RESOURCES','CONTRACTUAL SERVICES - OTHER','CONTRACTUAL SERVICES - OTHER','AGENCY MANAGEMENT PROGRAM','TITLE  CFDA 84.00A',nan,nan,'PERSONNEL',nan,nan,1250000.29
419,nan,nan,'EMPLOYEE RETIREMENT',nan,"'Teacher, Elementary '",'ELEMENTARY EDUCATION','RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,1163.2
420,nan,nan,'TITLE I - READING RECOVERY',nan,"'Teacher, Elementary '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','FEDERAL GDPG FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,50.94
421,nan,nan,'NON-PROJECT',nan,"'Specialist III, PC App '",'CUSTOMER RELATIONS MANAGEMENT','EMPLOYEE BENEFITS','PROFESSIONAL-OTHER','INFORMATION SYSTEMS SERVICES','GENERAL FUND',nan,'CENTRAL','ITEMGG-CUSTOMER RELATIONS MGMT','n/a',nan,3929.49
422,nan,nan,'NON-PROJECT',nan,'Social Worker ','SOCIAL WORK SERVICES','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','SOCIAL WORK SERVICES','GENERAL FUND',nan,'STUDENTS','PSYCHOLOGICAL SERVICES','n/a',nan,1756.14
423,1,nan,nan,nan,'Social Worker',nan,nan,nan,nan,'LOCAL',nan,nan,'SPECIAL EDUCATION INSTRUCTION',nan,nan,106207.8001
424,nan,nan,'TITLE I',nan,"'Teacher, Elementary '",nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','FEDERAL GDPG FUND - FY ',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,1575.03504
425,nan,'Finance Department','General Administration','General Operating Fund',nan,'Administration - No Description Provided','Legal Services',nan,'Undistributed',nan,'Legal Services',nan,nan,nan,nan,8656.65
426,nan,nan,'NON-PROJECT',nan,'Tutor Interpreter ',nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-850.57
427,nan,nan,'Recruitment And Placement Services','Special Trust',nan,nan,'Other Miscellaneous',nan,nan,'Support Services - Central','Other Miscellaneous Expenditures *','TEACHER RECRUITMENT & RET',nan,nan,nan,-7000.08
428,1,'Custodial Department','Facilities Maintenance And Operations','General Operating Fund','CUSTODIAN REGULAR','School ','Salaries Or Wages For Support Personnel','ANY CUS WHO IS NOT A SUPER ','Undistributed','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,nan,24646.85706
429,0.789204368,nan,'GUIDANCE SERVICES             ','GENERAL FUND                  ','COUNSELOR-HIGH                ','School ','OTHER CERTIFIED               ',nan,nan,nan,nan,nan,nan,nan,nan,53960.9825
430,0.52,'All Campus Payroll',"'""Guidance, Counseling And Evaluation Services""'",'General Operating Fund',"'COUNSELOR, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','COUNSELOR ELEM/INTERM','Undistributed','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Undistributed',29651.19109
431,nan,nan,'EMPLOYEE RETIREMENT',nan,'Occupational Therapist ','SPECIAL EDUCATION','RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,842.49
432,nan,nan,'NON-PROJECT',nan,'Social Worker ','SOCIAL WORK SERVICES','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','SOCIAL WORK SERVICES','GENERAL FUND',nan,'STUDENTS','PSYCHOLOGICAL SERVICES','n/a',nan,511.53
433,nan,nan,'Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Supplies and Materials',nan,nan,'Support Services - Instructional Staff','Supplies And Materials','SCIENCE',nan,nan,nan,749.45
434,nan,nan,nan,nan,'INTRAMURAL ASSISTANT',nan,'Coaching Supplement',nan,nan,nan,nan,nan,nan,nan,nan,1440.340758
435,nan,nan,'INSTRUCTION','General Fund',nan,nan,'SUPPLIES',nan,'PRIMARY GRADES PROGRAM ','PRIMARY GRADES PROGRAM ',nan,nan,nan,nan,nan,413.84
436,nan,nan,'TITLE VI-IDEA B-MAIN',nan,'Speech Language Pathologst ','SPECIAL EDUCATION','EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-INSTRUCTIONAL','SPECIAL EDUCATION-S/L','FEDERAL GDPG FUND - FY ',nan,'SPECIAL EDUCATION',nan,'n/a',nan,251.86
437,nan,nan,'SUPPORT SERVICES-CENTRAL','General Fund',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,-219.8
438,nan,'All Campus Payroll','Instruction','General Operating Fund',"'TEACHER, BILINGUAL KINDERGATN'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','Bilingual Education And Special Language Programs','Operations','Critical Needs Incentive','CRITICAL NEEDS SUPPLEMENT',nan,nan,nan,4170.773934
439,nan,nan,'NON-PROJECT',nan,'Bus Driver - Relief ','GARAGE','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-24.03
440,nan,nan,'NON-PROJECT',nan,'Teacher Secondary (Middle) ','PERSONNEL-PAID LEAVE','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','STAFF SERVICES','GENERAL FUND',nan,'CENTRAL','UNASSIGNED PERS/PAID LEAVES','n/a',nan,nan
441,nan,'All Campus Payroll','Instruction','General Operating Fund',"'TEACHER, PRE-K BILINGUAL'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','PRE-K','Operations','Critical Needs Incentive','CRITICAL NEEDS SUPPLEMENT',nan,nan,nan,4168.407383
442,nan,nan,'IMPROVEMENT OF INSTR SERV','General Fund',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES',nan,'PRESCHOOL HANDICAPPED STATE GRANT','STATE PRESCHOOL HANDICAPPED - INSTRUCT',nan,nan,nan,nan,nan,271.89
443,nan,nan,'PREP LEAGUE',nan,'Coach ','MIDDLE SCHOOL EDUCATION','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','MALE ATHLETICS/SPORTS ACTIVITI','DISTRICT SPECIAL REVENUE FUNDS',nan,'COCURRICULAR ED/ACTIVITIES','ATHLETICS','n/a',nan,10.25
444,nan,nan,'Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Other General Supplies',nan,nan,'Support Services - Instructional Staff','General Supplies *','INTEL ISEF MINORITY OUTRE',nan,nan,nan,-1799.79
445,0.999018127,nan,'NON-PROJECT',nan,"'Principal, High School '",nan,'SALARIES OF REGULAR EMPLOYEES','ADMINISTRATOR','SUPPORT SERVICES-SCHOOL ADMIN','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Turnaround',nan,118826.3988
446,nan,nan,'GRANT ACCOUNTING',nan,"'Accountant, General I '",'GENERAL LEDGER ACCOUNTING','EMPLOYEE BENEFITS','PROFESSIONAL-OTHER','FINANCIAL ACCOUNTING SERVICES','DISTRICT SPECIAL REVENUE FUNDS',nan,'BUSINESS','GENERAL LEDGER ACCOUNTING','n/a',nan,1322.59
